ParticipantID,DeviceStd,ConditionNr,BandwidthStd,BandwidthRank
P00,Smartphone,1,FB,4.0
P00,Smartphone,1,FB,4.0
P00,Smartphone,1,SWB,3.0
P00,Smartphone,1,FB,4.0
P00,Smartphone,1,FB,4.0
P00,Smartphone,2,NB,1.0
P00,Smartphone,2,NB,1.0
P00,Smartphone,2,NB,1.0
P00,Smartphone,2,NB,1.0
P00,Smartphone,2,NB,1.0
P00,Laptop,3,FB,4.0
P00,Laptop,3,FB,4.0
P00,Laptop,3,FB,4.0
P00,Laptop,3,FB,4.0
P00,Laptop,3,FB,4.0
P00,AirPods,4,FB,4.0
P00,AirPods,4,FB,4.0
P00,AirPods,4,FB,4.0
P00,AirPods,4,FB,4.0
P00,AirPods,4,FB,4.0
P00,Laptop,5,FB,4.0
P00,Laptop,5,FB,4.0
P00,Laptop,5,FB,4.0
P00,Laptop,5,FB,4.0
P00,Laptop,5,FB,4.0
P00,Smartphone,6,SWB,3.0
P00,Smartphone,6,SWB,3.0
P00,Smartphone,6,SWB,3.0
P00,Smartphone,6,SWB,3.0
P00,Smartphone,6,SWB,3.0
P00,AirPods,7,SWB,3.0
P00,AirPods,7,SWB,3.0
P00,AirPods,7,SWB,3.0
P00,AirPods,7,SWB,3.0
P00,AirPods,7,SWB,3.0
P00,Smartphone,8,SWB,3.0
P00,Smartphone,8,FB,4.0
P00,Smartphone,8,FB,4.0
P00,Smartphone,8,FB,4.0
P00,Smartphone,8,FB,4.0
P00,AirPods,9,SWB,3.0
P00,AirPods,9,SWB,3.0
P00,AirPods,9,SWB,3.0
P00,AirPods,9,SWB,3.0
P00,AirPods,9,SWB,3.0
P01,Laptop,1,WB,2.0
P01,Laptop,1,WB,2.0
P01,Laptop,1,WB,2.0
P01,Laptop,1,WB,2.0
P01,Laptop,1,WB,2.0
P01,AirPods,2,NB,1.0
P01,AirPods,2,NB,1.0
P01,AirPods,2,NB,1.0
P01,AirPods,2,NB,1.0
P01,AirPods,2,NB,1.0
P01,Laptop,3,WB,2.0
P01,Laptop,3,WB,2.0
P01,Laptop,3,WB,2.0
P01,Laptop,3,WB,2.0
P01,Laptop,3,WB,2.0
P01,Laptop,4,WB,2.0
P01,Laptop,4,WB,2.0
P01,Laptop,4,WB,2.0
P01,Laptop,4,WB,2.0
P01,Laptop,4,WB,2.0
P01,AirPods,5,NB,1.0
P01,AirPods,5,NB,1.0
P01,AirPods,5,NB,1.0
P01,AirPods,5,NB,1.0
P01,AirPods,5,NB,1.0
P01,Smartphone,6,SWB,3.0
P01,Smartphone,6,SWB,3.0
P01,Smartphone,6,SWB,3.0
P01,Smartphone,6,SWB,3.0
P01,Smartphone,6,SWB,3.0
P01,Smartphone,7,SWB,3.0
P01,Smartphone,7,SWB,3.0
P01,Smartphone,7,SWB,3.0
P01,Smartphone,7,SWB,3.0
P01,Smartphone,7,SWB,3.0
P01,AirPods,8,SWB,3.0
P01,AirPods,8,WB,2.0
P01,AirPods,8,SWB,3.0
P01,AirPods,8,SWB,3.0
P01,AirPods,8,SWB,3.0
P01,Smartphone,9,SWB,3.0
P01,Smartphone,9,SWB,3.0
P01,Smartphone,9,SWB,3.0
P01,Smartphone,9,SWB,3.0
P01,Smartphone,9,SWB,3.0
P02,Smartphone,1,FB,4.0
P02,Smartphone,1,FB,4.0
P02,Smartphone,1,SWB,3.0
P02,Smartphone,1,FB,4.0
P02,Smartphone,1,FB,4.0
P02,Laptop,2,WB,2.0
P02,Laptop,2,WB,2.0
P02,Laptop,2,WB,2.0
P02,Laptop,2,WB,2.0
P02,Laptop,2,WB,2.0
P02,Smartphone,3,FB,4.0
P02,Smartphone,3,FB,4.0
P02,Smartphone,3,FB,4.0
P02,Smartphone,3,FB,4.0
P02,Smartphone,3,SWB,3.0
P02,Laptop,4,WB,2.0
P02,Laptop,4,WB,2.0
P02,Laptop,4,WB,2.0
P02,Laptop,4,WB,2.0
P02,Laptop,4,WB,2.0
P02,Smartphone,5,SWB,3.0
P02,Smartphone,5,SWB,3.0
P02,Smartphone,5,SWB,3.0
P02,Smartphone,5,SWB,3.0
P02,Smartphone,5,SWB,3.0
P02,Smartphone,6,FB,4.0
P02,Smartphone,6,FB,4.0
P02,Smartphone,6,FB,4.0
P02,Smartphone,6,FB,4.0
P02,Smartphone,6,FB,4.0
P02,Smartphone,7,FB,4.0
P02,Smartphone,7,FB,4.0
P02,Smartphone,7,FB,4.0
P02,Smartphone,7,FB,4.0
P02,Smartphone,7,FB,4.0
P02,Headphones,8,FB,4.0
P02,Headphones,8,FB,4.0
P02,Headphones,8,FB,4.0
P02,Headphones,8,FB,4.0
P02,Headphones,8,FB,4.0
P02,Headphones,9,FB,4.0
P02,Headphones,9,FB,4.0
P02,Headphones,9,FB,4.0
P02,Headphones,9,FB,4.0
P02,Headphones,9,FB,4.0
P03,Smartphone,1,FB,4.0
P03,Smartphone,1,SWB,3.0
P03,Smartphone,1,SWB,3.0
P03,Smartphone,1,FB,4.0
P03,Smartphone,1,SWB,3.0
P03,AirPods,2,NB,1.0
P03,AirPods,2,NB,1.0
P03,AirPods,2,NB,1.0
P03,AirPods,2,NB,1.0
P03,AirPods,2,NB,1.0
P03,Laptop,3,WB,2.0
P03,Laptop,3,WB,2.0
P03,Laptop,3,WB,2.0
P03,Laptop,3,WB,2.0
P03,Laptop,3,WB,2.0
P03,AirPods,4,FB,4.0
P03,AirPods,4,NB,1.0
P03,AirPods,4,NB,1.0
P03,AirPods,4,NB,1.0
P03,AirPods,4,NB,1.0
P03,Laptop,5,WB,2.0
P03,Laptop,5,WB,2.0
P03,Laptop,5,WB,2.0
P03,Laptop,5,WB,2.0
P03,Laptop,5,WB,2.0
P03,Smartphone,6,SWB,3.0
P03,Smartphone,6,SWB,3.0
P03,Smartphone,6,FB,4.0
P03,Smartphone,6,FB,4.0
P03,Smartphone,6,SWB,3.0
P03,AirPods,7,SWB,3.0
P03,AirPods,7,SWB,3.0
P03,AirPods,7,SWB,3.0
P03,AirPods,7,SWB,3.0
P03,AirPods,7,SWB,3.0
P03,Smartphone,8,SWB,3.0
P03,Smartphone,8,SWB,3.0
P03,Smartphone,8,SWB,3.0
P03,Smartphone,8,SWB,3.0
P03,Smartphone,8,SWB,3.0
P03,AirPods,9,SWB,3.0
P03,AirPods,9,SWB,3.0
P03,AirPods,9,SWB,3.0
P03,AirPods,9,SWB,3.0
P03,AirPods,9,SWB,3.0
P04,Laptop,1,WB,2.0
P04,Laptop,1,WB,2.0
P04,Laptop,1,WB,2.0
P04,Laptop,1,WB,2.0
P04,Laptop,1,WB,2.0
P04,Headphones,2,FB,4.0
P04,Headphones,2,FB,4.0
P04,Headphones,2,FB,4.0
P04,Headphones,2,FB,4.0
P04,Headphones,2,FB,4.0
P04,Smartphone,3,FB,4.0
P04,Smartphone,3,FB,4.0
P04,Smartphone,3,FB,4.0
P04,Smartphone,3,FB,4.0
P04,Smartphone,3,FB,4.0
P04,Headphones,4,FB,4.0
P04,Headphones,4,FB,4.0
P04,Headphones,4,FB,4.0
P04,Headphones,4,FB,4.0
P04,Headphones,4,FB,4.0
P04,Headphones,5,FB,4.0
P04,Headphones,5,FB,4.0
P04,Headphones,5,FB,4.0
P04,Headphones,5,FB,4.0
P04,Headphones,5,FB,4.0
P04,Headphones,6,FB,4.0
P04,Headphones,6,FB,4.0
P04,Headphones,6,FB,4.0
P04,Headphones,6,FB,4.0
P04,Headphones,6,FB,4.0
P04,Smartphone,7,SWB,3.0
P04,Smartphone,7,SWB,3.0
P04,Smartphone,7,SWB,3.0
P04,Smartphone,7,SWB,3.0
P04,Smartphone,7,SWB,3.0
P04,Headphones,8,FB,4.0
P04,Headphones,8,FB,4.0
P04,Headphones,8,FB,4.0
P04,Headphones,8,FB,4.0
P04,Headphones,8,FB,4.0
P04,Headphones,9,FB,4.0
P04,Headphones,9,FB,4.0
P04,Headphones,9,FB,4.0
P04,Headphones,9,FB,4.0
P04,Headphones,9,FB,4.0
P05,Headphones,1,FB,4.0
P05,Headphones,1,FB,4.0
P05,Headphones,1,FB,4.0
P05,Headphones,1,FB,4.0
P05,Headphones,1,FB,4.0
P05,Smartphone,2,FB,4.0
P05,Smartphone,2,FB,4.0
P05,Smartphone,2,FB,4.0
P05,Smartphone,2,FB,4.0
P05,Smartphone,2,FB,4.0
P05,Laptop,3,WB,2.0
P05,Laptop,3,WB,2.0
P05,Laptop,3,WB,2.0
P05,Laptop,3,WB,2.0
P05,Laptop,3,WB,2.0
P05,Smartphone,4,FB,4.0
P05,Smartphone,4,FB,4.0
P05,Smartphone,4,FB,4.0
P05,Smartphone,4,FB,4.0
P05,Smartphone,4,FB,4.0
P05,Smartphone,5,FB,4.0
P05,Smartphone,5,SWB,3.0
P05,Smartphone,5,FB,4.0
P05,Smartphone,5,FB,4.0
P05,Smartphone,5,FB,4.0
P05,AirPods,6,SWB,3.0
P05,AirPods,6,SWB,3.0
P05,AirPods,6,SWB,3.0
P05,AirPods,6,SWB,3.0
P05,AirPods,6,SWB,3.0
P05,Smartphone,7,FB,4.0
P05,Smartphone,7,SWB,3.0
P05,Smartphone,7,SWB,3.0
P05,Smartphone,7,SWB,3.0
P05,Smartphone,7,SWB,3.0
P05,AirPods,8,SWB,3.0
P05,AirPods,8,SWB,3.0
P05,AirPods,8,SWB,3.0
P05,AirPods,8,SWB,3.0
P05,AirPods,8,SWB,3.0
P05,AirPods,9,SWB,3.0
P05,AirPods,9,SWB,3.0
P05,AirPods,9,SWB,3.0
P05,AirPods,9,SWB,3.0
P05,AirPods,9,SWB,3.0
P06,Smartphone,1,FB,4.0
P06,Smartphone,1,FB,4.0
P06,Smartphone,1,FB,4.0
P06,Smartphone,1,FB,4.0
P06,Smartphone,1,FB,4.0
P06,Smartphone,2,SWB,3.0
P06,Smartphone,2,SWB,3.0
P06,Smartphone,2,SWB,3.0
P06,Smartphone,2,SWB,3.0
P06,Smartphone,2,SWB,3.0
P06,Laptop,3,WB,2.0
P06,Laptop,3,WB,2.0
P06,Laptop,3,WB,2.0
P06,Laptop,3,WB,2.0
P06,Laptop,3,WB,2.0
P06,Laptop,4,WB,2.0
P06,Laptop,4,WB,2.0
P06,Laptop,4,WB,2.0
P06,Laptop,4,WB,2.0
P06,Laptop,4,WB,2.0
P06,AirPods,5,NB,1.0
P06,AirPods,5,NB,1.0
P06,AirPods,5,NB,1.0
P06,AirPods,5,NB,1.0
P06,AirPods,5,NB,1.0
P06,AirPods,6,SWB,3.0
P06,AirPods,6,SWB,3.0
P06,AirPods,6,SWB,3.0
P06,AirPods,6,SWB,3.0
P06,AirPods,6,SWB,3.0
P06,Smartphone,7,FB,4.0
P06,Smartphone,7,FB,4.0
P06,Smartphone,7,FB,4.0
P06,Smartphone,7,FB,4.0
P06,Smartphone,7,SWB,3.0
P06,Smartphone,8,FB,4.0
P06,Smartphone,8,FB,4.0
P06,Smartphone,8,FB,4.0
P06,Smartphone,8,FB,4.0
P06,Smartphone,8,FB,4.0
P06,AirPods,9,SWB,3.0
P06,AirPods,9,SWB,3.0
P06,AirPods,9,SWB,3.0
P06,AirPods,9,SWB,3.0
P06,AirPods,9,SWB,3.0
P07,Laptop,1,WB,2.0
P07,Laptop,1,WB,2.0
P07,Laptop,1,WB,2.0
P07,Laptop,1,WB,2.0
P07,Laptop,1,WB,2.0
P07,Smartphone,2,FB,4.0
P07,Smartphone,2,SWB,3.0
P07,Smartphone,2,SWB,3.0
P07,Smartphone,2,FB,4.0
P07,Smartphone,2,SWB,3.0
P07,AirPods,3,NB,1.0
P07,AirPods,3,NB,1.0
P07,AirPods,3,NB,1.0
P07,AirPods,3,NB,1.0
P07,AirPods,3,NB,1.0
P07,Smartphone,4,FB,4.0
P07,Smartphone,4,SWB,3.0
P07,Smartphone,4,SWB,3.0
P07,Smartphone,4,FB,4.0
P07,Smartphone,4,SWB,3.0
P07,Smartphone,5,FB,4.0
P07,Smartphone,5,SWB,3.0
P07,Smartphone,5,SWB,3.0
P07,Smartphone,5,SWB,3.0
P07,Smartphone,5,SWB,3.0
P07,Smartphone,6,SWB,3.0
P07,Smartphone,6,SWB,3.0
P07,Smartphone,6,SWB,3.0
P07,Smartphone,6,SWB,3.0
P07,Smartphone,6,SWB,3.0
P07,AirPods,7,SWB,3.0
P07,AirPods,7,SWB,3.0
P07,AirPods,7,SWB,3.0
P07,AirPods,7,SWB,3.0
P07,AirPods,7,SWB,3.0
P07,Headphones,8,FB,4.0
P07,Headphones,8,FB,4.0
P07,Headphones,8,FB,4.0
P07,Headphones,8,FB,4.0
P07,Headphones,8,WB,2.0
P07,Headphones,9,FB,4.0
P07,Headphones,9,FB,4.0
P07,Headphones,9,FB,4.0
P07,Headphones,9,FB,4.0
P07,Headphones,9,WB,2.0
P08,AirPods,1,NB,1.0
P08,AirPods,1,NB,1.0
P08,AirPods,1,NB,1.0
P08,AirPods,1,NB,1.0
P08,AirPods,1,NB,1.0
P08,Laptop,2,WB,2.0
P08,Laptop,2,WB,2.0
P08,Laptop,2,WB,2.0
P08,Laptop,2,WB,2.0
P08,Laptop,2,WB,2.0
P08,Smartphone,3,SWB,3.0
P08,Smartphone,3,SWB,3.0
P08,Smartphone,3,SWB,3.0
P08,Smartphone,3,SWB,3.0
P08,Smartphone,3,SWB,3.0
P08,Laptop,4,WB,2.0
P08,Laptop,4,WB,2.0
P08,Laptop,4,WB,2.0
P08,Laptop,4,WB,2.0
P08,Laptop,4,WB,2.0
P08,AirPods,5,NB,1.0
P08,AirPods,5,NB,1.0
P08,AirPods,5,NB,1.0
P08,AirPods,5,NB,1.0
P08,AirPods,5,NB,1.0
P08,Headphones,6,FB,4.0
P08,Headphones,6,FB,4.0
P08,Headphones,6,FB,4.0
P08,Headphones,6,FB,4.0
P08,Headphones,6,FB,4.0
P08,Headphones,7,WB,2.0
P08,Headphones,7,WB,2.0
P08,Headphones,7,WB,2.0
P08,Headphones,7,WB,2.0
P08,Headphones,7,WB,2.0
P08,Headphones,8,WB,2.0
P08,Headphones,8,WB,2.0
P08,Headphones,8,WB,2.0
P08,Headphones,8,WB,2.0
P08,Headphones,8,WB,2.0
P08,Smartphone,9,SWB,3.0
P08,Smartphone,9,FB,4.0
P08,Smartphone,9,FB,4.0
P08,Smartphone,9,FB,4.0
P08,Smartphone,9,FB,4.0
P09,Laptop,1,WB,2.0
P09,Laptop,1,WB,2.0
P09,Laptop,1,WB,2.0
P09,Laptop,1,WB,2.0
P09,Laptop,1,WB,2.0
P09,Headphones,2,FB,4.0
P09,Headphones,2,FB,4.0
P09,Headphones,2,FB,4.0
P09,Headphones,2,FB,4.0
P09,Headphones,2,FB,4.0
P09,AirPods,3,NB,1.0
P09,AirPods,3,NB,1.0
P09,AirPods,3,NB,1.0
P09,AirPods,3,NB,1.0
P09,AirPods,3,NB,1.0
P09,Smartphone,4,FB,4.0
P09,Smartphone,4,FB,4.0
P09,Smartphone,4,FB,4.0
P09,Smartphone,4,FB,4.0
P09,Smartphone,4,FB,4.0
P09,Laptop,5,WB,2.0
P09,Laptop,5,WB,2.0
P09,Laptop,5,WB,2.0
P09,Laptop,5,WB,2.0
P09,Laptop,5,WB,2.0
P09,Smartphone,6,FB,4.0
P09,Smartphone,6,FB,4.0
P09,Smartphone,6,FB,4.0
P09,Smartphone,6,FB,4.0
P09,Smartphone,6,FB,4.0
P09,Headphones,7,FB,4.0
P09,Headphones,7,FB,4.0
P09,Headphones,7,FB,4.0
P09,Headphones,7,FB,4.0
P09,Headphones,7,FB,4.0
P09,Smartphone,8,FB,4.0
P09,Smartphone,8,FB,4.0
P09,Smartphone,8,FB,4.0
P09,Smartphone,8,FB,4.0
P09,Smartphone,8,FB,4.0
P09,AirPods,9,SWB,3.0
P09,AirPods,9,SWB,3.0
P09,AirPods,9,SWB,3.0
P09,AirPods,9,SWB,3.0
P09,AirPods,9,SWB,3.0
P10,AirPods,1,FB,4.0
P10,AirPods,1,FB,4.0
P10,AirPods,1,FB,4.0
P10,AirPods,1,FB,4.0
P10,AirPods,1,FB,4.0
P10,Smartphone,2,FB,4.0
P10,Smartphone,2,FB,4.0
P10,Smartphone,2,FB,4.0
P10,Smartphone,2,FB,4.0
P10,Smartphone,2,FB,4.0
P10,Headphones,3,FB,4.0
P10,Headphones,3,FB,4.0
P10,Headphones,3,FB,4.0
P10,Headphones,3,FB,4.0
P10,Headphones,3,FB,4.0
P10,Smartphone,4,FB,4.0
P10,Smartphone,4,FB,4.0
P10,Smartphone,4,SWB,3.0
P10,Smartphone,4,FB,4.0
P10,Smartphone,4,FB,4.0
P10,Smartphone,5,FB,4.0
P10,Smartphone,5,SWB,3.0
P10,Smartphone,5,FB,4.0
P10,Smartphone,5,FB,4.0
P10,Smartphone,5,SWB,3.0
P10,Headphones,6,FB,4.0
